section,plant,date,spin_target,spin_actual,pack_target,pack_actual,mp_prod_target,mp_prod_actual,mp_maint_target,mp_maint_actual,upc_target,upc_actual,remarks
daily,P-4,21,4792.64,3895,4792.64,3888,54,49,3,1,0.12,0.124769,
daily,P-4,22,4792.64,3811,4792.64,3136,54,45,3,0,0.12,0.127466,
daily,P-4,23,4792.64,3586,4792.64,3840,54,47,3,1,0.12,0.13332,
daily,P-4,24,4792.64,3629,4792.64,3520,54,48,3,1,0.12,0.129545526,
daily,P-4,25,4792.64,3771,4792.64,3776,54,49,3,1,0.12,0.128556555,
daily,P-4,26,4792.64,3867,4792.64,3808,54,48,3,1,0.12,0.128,
daily,P-5,21,3517.02,3358,3517.02,3008,59,62,11,12,0.1159,0.124992,
daily,P-5,22,3517.02,3315,3517.02,3152,59,56,11,2,0.1159,0.129498,
daily,P-5,23,3517.02,3308,3517.02,3152,59,58,11,10,0.1159,0.124109,
daily,P-5,24,3517.02,2970,3517.02,3104,59,59,11,11,0.1159,0.129655314,
daily,P-5,25,3517.02,2968,3517.02,3072,59,55,11,12,0.1159,0.131502859,
daily,P-5,26,3517.02,3240,3517.02,3904,59,56,11,13,0.1159,0.127989458,
daily,P-6,21,6561.1,6338,6561.1,6329,287,285,91,80,0.1064,0.104587,
daily,P-6,22,6561.1,6395,6561.1,6329,287,282,91,20,0.1064,0.106395,
daily,P-6,23,6561.1,6350,6561.1,6395,287,283,91,76,0.1064,0.105637,
daily,P-6,24,6561.1,6231,6561.1,6390,287,281.5,91,78,0.1064,0.106658871,
daily,P-6,25,6561.1,6320,6561.1,6390,287,274,91,75,0.1064,0.105270545,
daily,P-6,26,6561.1,6439,6561.1,6390,287,285,91,68,0.1064,0.104709826,
daily,P-7,21,11993.47,11209,11993.47,10456,130,129,24,25,0.107,0.106871,
daily,P-7,22,11993.47,11428,11993.47,11264,130,126,24,5,0.107,0.107064,
daily,P-7,23,11993.47,11434,11993.47,11584,130,125,24,25,0.107,0.106236,
daily,P-7,24,11993.47,11032,11993.47,11456,130,122,24,24,0.107,0.108227755,
daily,P-7,25,11993.47,11425,11993.47,11072,130,128,24,24,0.107,0.106245849,
daily,P-7,26,11993.47,11582,11993.47,11456,130,129,24,26,0.107,0.103808738,
daily,P-9,21,10671.34,10057,10671.34,10025,456,450,145,144,0.1194,0.120828,
daily,P-9,22,10671.34,10230,10671.34,10130,456,454,145,68,0.1194,0.119505,
daily,P-9,23,10671.34,10148,10671.34,10069,456,455,145,140,0.1194,0.120457,
daily,P-9,24,10671.34,10140,10671.34,10100,456,460,145,143,0.1194,0.120126782,
daily,P-9,25,10671.34,10123,10671.34,10054.8,456,460,145,138,0.1194,0.121041792,
daily,P-9,26,10671.34,10134,10671.34,10069.92,456,458,145,141,0.1194,0.120335423,
daily,P-10,21,4731.4,4379,4731.4,4631,223,241,60,77.5,0.1155,0.113494,
daily,P-10,22,4731.4,4413,4731.4,4596,223,245,60,33,0.1155,0.115152,
daily,P-10,23,4731.4,4445,4731.4,4475,223,233,60,68,0.1155,0.114898,
daily,P-10,24,4731.4,4462,4731.4,4748,223,4748,60,82,0.1155,0.115159826,
daily,P-10,25,4731.4,4516,4731.4,4732.56,223,4732.56,60,64.5,0.1155,0.112029658,
daily,P-10,26,4731.4,4506,4731.4,4616.24,223,4616.24,60,64,0.1155,0.113767095,
daily,P-11,21,5173.2,5015,5173.2,4990,217,231.5,63,80,0.1036,0.105857,
daily,P-11,22,5173.2,5142,5173.2,5126,217,223,63,24,0.1036,0.102005,
daily,P-11,23,5173.2,5082,5173.2,4944,217,224,63,70,0.1036,0.102661,
daily,P-11,24,5173.2,5173,5173.2,5141,217,227,63,69,0.1036,0.102601461,
daily,P-11,25,5173.2,5198,5173.2,5125.68,217,221.5,63,62.5,0.1036,0.102271142,
daily,P-11,26,5173.2,5197,5173.2,5054.72,217,226,63,69.5,0.1036,0.101401013,
remarks,P-4,,,,,,,,,,,,"Plan 6 Mcs, running 5 Mcs. 
OE-1 Target speed 85000 Actual 80000, OE-6 Target speed 80000, Actual-78000"
remarks,P-5,,,,,,,,,,,,"OE-1,2 Target speed 85000 Actual 83000, OE-3 Target speed 85000 Actual 80000"
remarks,P-6,,,,,,,,,,,,"60sC G5/1 Target speed 20500 Actual 20000
60sC G5/1 7 Mcs, 60sC 6/S 9 Mcs TM 4.54 to 4.44, 68sCC 24-37,39-49 TM 4.02 to 3.94 to be change"
remarks,P-7,,,,,,,,,,,,"20sK TM 7.30 to 7.20 to be change, OE 1 Mc 20sK to 16sK count to be change"
remarks,P-9,,,,,,,,,,,,"Plan 46 Mcs Actual 45 Mcs
60sC & 61sC TM 4.40 to 4.30 to be change"
remarks,P-10,,,,,,,,,,,,"60sC TM 4.54 to 4.44, Spg-14 61sCC Speed Target 23000 Actual 22000, 
Spg-15,21 Speed Target 22500 Actual 22000"
remarks,P-11,,,,,,,,,,,,"61sC TM 4.41 to 4.31 to be change, Spg-19 Speed Target 22500 Actual 19000, Spg-20 Speed Target 23000 Actual 22500"
